Metagenome	Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	FastANI Reference	FastANI Reference Radius	FastANI Taxonomy	FastANI ANI	FastANI Alignment Fraction	Closest Placement Reference	Closest Placement Taxonomy	Closest Placement ANI	Closest Placement Alignment Fraction	Classification Method	Note	Other Related References	MSA AA Percent	RED Value	Warnings	...2	BinContigLenSum	hallmarkSum	gcMean	seqname	max_contigLen	max_score	max_contigLenGroup	full-partial	bin_high_group	bin_high_ContigLenSum	GroupPercent
C1	bin.011	root	5656	56	24	54	2	0	0	0	0	8.33	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	735060	0	35	NODE_428_length_23598_cov_3.501805	23598	NA	Bacteria?	NA	Bacteria?	521023	70
C1	bin.012	o__Pseudomonadales	185	813	308	30	754	29	0	0	0	97.36	1.29	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002814235	GCF_002814235.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	GCF_002814235.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013385425.1, s__Pseudomonas_E ging...	82.71	-	-	11	7131976	37	61	NODE_34_length_130996_cov_5.197547	130996	NA	Bacteria?	NA	Bacteria?	6808826	95
C1	bin.013	k__Bacteria	5449	103	58	101	2	0	0	0	0	3.45	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	854348	31	32	NODE_199_length_42863_cov_5.817534	42863	0.993	dsDNAphage	|full	Bacteria?	615739	72
C1	bin.014	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	216371	14	49	NODE_17_length_216371_cov_18.980394	216371	1	dsDNAphage	|full	dsDNAphage	216371	100
C1	bin.015	k__Bacteria	5449	104	58	103	1	0	0	0	0	0.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	203278	18	52	NODE_661_length_15886_cov_4.048891	15886	1	dsDNAphage	|full	dsDNAphage	177709	87
C1	bin.016	k__Bacteria	5449	104	58	50	54	0	0	0	0	78.79	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	BGMRC-2031		-	-	-	-	-	GCF_005217455.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__BGMRC-2031 sp005217455	79.24	0.38	taxonomic classification defined by topology and ANI	-	GCF_004346745.1, s__BGMRC-2031 sp00434...	68.95	0.957664984	-	15	4719231	23	53	NODE_110_length_63050_cov_4.657020	63050	NA	Bacteria?	NA	Bacteria?	4513128	95
C1	bin.017	f__Bacillaceae	128	555	180	5	529	20	1	0	0	98.25	4.84	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	94.28	0.8428571747	-	16	4645902	7	38	NODE_15_length_231890_cov_7.339034	231890	NA	Bacteria?	NA	Bacteria?	4584966	98
C1	bin.018	k__Bacteria	5449	104	58	75	22	4	3	0	0	42.9	17.24	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		-	-	-	-	-	-	-	-	-	ANI	-	GCF_900141745.1, s__Paraburkholderia p...	22.47	0.9871340462	Genome has more than 15.0% of markers with multiple hits	17	7139742	34	62	NODE_224_length_39336_cov_4.884142	39336	NA	Bacteria?	NA	Bacteria?	6787535	95
C2	bin.001	k__Bacteria	5449	104	58	36	59	9	0	0	0	56.32	5.38	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	46.67	0.8397443697	-	0	553024	1	52	NODE_2087_length_33473_cov_4.492639	33473	NA	Bacteria?	NA	Bacteria?	485109	87
C2	bin.002	k__Bacteria	5449	104	58	75	26	3	0	0	0	33.99	4.02	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	27.52	0.870492481	-	1	252843	0	51	NODE_6332_length_15888_cov_3.682309	15888	NA	Bacteria?	NA	Bacteria?	211235	83
C2	bin.003	o__Rhodospirillales	63	336	201	59	70	70	62	55	20	91.42	154.24	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter		-	-	-	-	-	-	-	-	-	ANI	-	GCF_009766065.1, s__Rhodanobacter sp00...	25.11	0.9861274025	Genome has more than 55.0% of markers with multiple hits	2	7400336	10	63	NODE_1720_length_37891_cov_4.263929	37891	NA	Bacteria?	NA	Bacteria?	7203964	97
C2	bin.004	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	205153	27	35	NODE_4307_length_20681_cov_3.986425	20681	1	dsDNAphage	|full	dsDNAphage	205153	100
C2	bin.005	k__Bacteria	5449	104	58	91	13	0	0	0	0	18.97	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		-	-	-	-	-	GCA_003165495.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__Bog-1198 sp003165495	80.59	0.29	taxonomic classification defined by topology and ANI	-	GCA_003134045.1, s__Bog-1198 sp0031340...	19.06	0.9817840418	-	4	1908947	11	62	NODE_428_length_81867_cov_16.433897	81867	NA	Bacteria?	NA	Bacteria?	1716526	89
C2	bin.006	k__Bacteria	5449	104	58	81	22	1	0	0	0	36.21	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia		-	-	-	-	-	GCF_001544555.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia udeis	92.84	0.54	taxonomic classification defined by topology and ANI	-	GCA_001190015.1, s__Caballeronia crena...	28.21	0.9957875709	-	5	5033289	12	61	NODE_853_length_55653_cov_6.933631	55653	NA	Bacteria?	NA	Bacteria?	4882547	97
C2	bin.007	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	341727	13	38	NODE_276_length_105418_cov_6.904188	105418	0.993	dsDNAphage	|full	dsDNAphage	251037	73
C2	bin.008	k__Bacteria	5449	104	58	88	16	0	0	0	0	25.86	0	Bacteria	Proteobacteria	Gammaproteobacteria	UBA6186	UBA6186			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	22.39	0.7339647464	-	7	288260	0	38	NODE_10853_length_10983_cov_2.798682	10983	NA	Bacteria?	NA	Bacteria?	258639	89
C2	bin.009	k__Bacteria	5449	104	58	66	37	1	0	0	0	54.81	1.72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	53.96	0.8379875088	-	8	4781097	0	65	NODE_191_length_128693_cov_15.283586	128693	NA	Bacteria?	NA	Bacteria?	4676642	97
C2	bin.010	k__Bacteria	5449	104	58	4	16	27	28	14	15	97.81	236.87	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JABEUX01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	10.4	0.8772275299	Genome has more than 85.8% of markers with multiple hits;Genome domain questionable ( 10.8% Bacterial, 2.5% Archaeal)	9	7985643	8	62	NODE_490_length_76109_cov_4.038999	76109	NA	Bacteria?	NA	Bacteria?	7797201	97
C2	bin.011	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	380454	3	51	NODE_2342_length_31028_cov_3.762180	31028	0.847	dsDNAphage	|full	dsDNAphage	242241	63
C2	bin.012	k__Bacteria	5449	104	58	76	28	0	0	0	0	41.38	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	33.15	0.9419332651	-	11	4790547	12	62	NODE_1040_length_50010_cov_8.436873	50010	1	dsDNAphage	|full	Bacteria?	4653705	97
C2	bin.013	c__Alphaproteobacteria	564	349	230	156	182	11	0	0	0	56.77	3.91	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales_A	UBA9219	JABDFY01		-	-	-	-	-	GCA_903875345.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__UBA9219;g__JABDFY01;s__JABDFY01 sp903875345	76.77	0.21	taxonomic classification defined by topology and ANI	-	-	49.49	0.8883167969	-	12	641629	1	59	NODE_6912_length_14974_cov_3.318185	14974	NA	Bacteria?	NA	Bacteria?	623426	97
C2	bin.014	o__Burkholderiales	107	574	251	30	271	224	43	4	2	97.51	66.01	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		-	-	-	-	-	-	-	-	-	taxonomic classification defined by topology and ANI	-	GCF_900096975.1, s__Paraburkholderia l...	55.05	0.9898328638	Genome has more than 32.5% of markers with multiple hits	13	14774727	56	62	NODE_6_length_609648_cov_15.936038	609648	0.927	dsDNAphage	|0_partial	Bacteria?	13509553	91
C2	bin.015	k__Bacteria	5449	100	55	89	11	0	0	0	0	13.79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	111395	0	47	NODE_7889_length_13694_cov_3.105873	13694	NA	Bacteria?	NA	Bacteria?	105127	94
C2	bin.016	k__Bacteria	5449	104	58	57	33	13	1	0	0	63.9	23.28	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		-	-	-	-	-	-	-	-	-	ANI	-	GCA_005878835.1, s__13-2-20CM-66-19 sp...	35.08	0.9410596619	Genome has more than 18.3% of markers with multiple hits	15	1412956	1	68	NODE_5112_length_18354_cov_4.361768	18354	NA	Bacteria?	NA	Bacteria?	1377618	97
C2	bin.017	k__Bacteria	88	227	146	27	170	30	0	0	0	90.72	10.52	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	63.15	0.9298927089	Genome has more than 10.8% of markers with multiple hits	16	4249808	6	66	NODE_184_length_131666_cov_6.150451	131666	NA	Bacteria?	NA	Bacteria?	4068829	95
C2	bin.018	k__Bacteria	5449	104	58	94	10	0	0	0	0	10.66	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	FEN-1251		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	10.13	0.9162462421	Genome domain questionable ( 11.7% Bacterial, 3.3% Archaeal)	17	317573	1	64	NODE_261_length_108167_cov_6.097269	108167	NA	Bacteria?	NA	Bacteria?	287576	90
C2	bin.019	o__Rhodospirillales	63	336	201	85	210	38	3	0	0	75.18	15.45	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	60.31	0.8951355644	Genome has more than 10.0% of markers with multiple hits	18	1626507	0	62	NODE_2664_length_28386_cov_3.732519	28386	NA	Bacteria?	NA	Bacteria?	1550144	95
C2	bin.020	k__Archaea	207	149	107	143	6	0	0	0	0	1.22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	206237	4	23	NODE_944_length_52584_cov_5.950275	52584	1	NCLDV	|full	NCLDV	190661	92
C2	bin.021	root	5656	56	24	55	1	0	0	0	0	4.17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	51116	0	61	NODE_15496_length_8570_cov_4.480799	8570	NA	Bacteria?	NA	Bacteria?	44535	87
C2	bin.022	k__Bacteria	2258	185	115	29	152	4	0	0	0	91.84	2.61	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003166865.1, s__Palsa-89 sp0031668...	83.03	0.9194501698	-	21	5366756	0	61	NODE_95_length_180655_cov_5.738632	180655	NA	Bacteria?	NA	Bacteria?	5366756	100
C2	bin.023	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	437424	9	39	NODE_13_length_437424_cov_10.394975	437424	0.98	dsDNAphage	|full	dsDNAphage	437424	100
C2	bin.024	k__Bacteria	5449	104	58	96	8	0	0	0	0	12.07	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	109752	0	41	NODE_14373_length_9030_cov_3.564791	9030	NA	Bacteria?	NA	Bacteria?	97950	89
C2	bin.025	c__Alphaproteobacteria	564	349	230	136	129	75	9	0	0	65.26	31.45	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		-	-	-	-	-	GCA_903897605.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__Rhizomicrobium sp903897605	80.37	0.39	taxonomic classification defined by topology and ANI	-	GCA_903857685.1, s__Rhizomicrobium sp9...	30.51	0.9686363323	Genome has more than 21.7% of markers with multiple hits	24	1959653	0	61	NODE_1751_length_37643_cov_8.071991	37643	NA	Bacteria?	NA	Bacteria?	1929719	98
C2	bin.026	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	228046	13	58	NODE_59_length_228046_cov_9.080170	228046	0.987	dsDNAphage	|full	dsDNAphage	228046	100
C2	bin.027	root	5656	56	24	51	5	0	0	0	0	20.83	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	FEN-1191		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003132025.1, s__FEN-1191 sp0031320...	22.87	0.9305823148	-	26	257414	0	64	NODE_11892_length_10280_cov_3.175844	10280	NA	Bacteria?	NA	Bacteria?	257414	100
C2	bin.028	k__Bacteria	5449	104	58	70	23	11	0	0	0	46.69	13.59	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	VBCK01		-	-	-	-	-	GCA_005882215.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__VBCK01;s__VBCK01 sp005882215	81.08	0.58	taxonomic classification defined by topology and ANI	-	-	25.83	0.9511907628	Genome has more than 14.2% of markers with multiple hits	27	1017128	6	66	NODE_3282_length_24859_cov_4.060313	24859	NA	Bacteria?	NA	Bacteria?	979915	96
C2	bin.029	k__Bacteria	5449	103	57	74	29	0	0	0	0	29.96	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	PALSA-1337	PALSA-1337		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	17.11	0.9128462298	-	28	185174	0	52	NODE_7469_length_14203_cov_4.354891	14203	NA	Bacteria?	NA	Bacteria?	172834	93
C2	bin.030	p__Firmicutes	100	295	158	25	259	10	1	0	0	93.54	6.35	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	UPPP01			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	82.11	0.759987335	-	29	3702316	3	47	NODE_1309_length_44149_cov_4.421395	44149	NA	Bacteria?	NA	Bacteria?	3639806	98
C2	bin.031	p__Firmicutes	100	295	158	83	179	29	4	0	0	80.7	13.07	Bacteria	Firmicutes_C	Negativicutes	Propionisporales	Propionisporaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	50.35	0.9125460867	Genome has more than 11.7% of markers with multiple hits	30	2804264	20	37	NODE_2610_length_28760_cov_4.070162	28760	NA	Bacteria?	NA	Bacteria?	2590791	92
C2	bin.032	k__Bacteria	5449	104	58	77	26	1	0	0	0	36.21	1.72	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	CAJCIW01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	28.93	0.9225395178	-	31	496329	0	43	NODE_9254_length_12240_cov_3.330899	12240	NA	Bacteria?	NA	Bacteria?	432043	87
C2	bin.033	k__Bacteria	924	151	101	43	107	1	0	0	0	62.18	0.99	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	66.21	0.8829949251	-	32	828550	0	52	NODE_16_length_385895_cov_91.317209	385895	NA	Bacteria?	NA	Bacteria?	794983	95
C2	bin.034	o__Pseudomonadales	185	813	308	115	678	20	0	0	0	81.25	2.95	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E		-	-	-	-	-	-	-	-	-	taxonomic classification defined by topology and ANI	-	GCF_000497835.1, s__Pseudomonas_E sp00...	87.29	0.9890037538	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	33	2486689	1	65	NODE_1822_length_36527_cov_7.206871	36527	NA	Bacteria?	NA	Bacteria?	2448103	98
C2	bin.035	k__Bacteria	5449	104	58	102	2	0	0	0	0	0.31	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	312699	0	45	NODE_1793_length_36994_cov_3.902569	36994	0.633	NCLDV	|full	Bacteria?	218477	69
C2	bin.036	k__Bacteria	2258	187	116	76	107	4	0	0	0	61.08	1.44	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	55.61	0.8265779611	-	35	1182774	2	62	NODE_767_length_58962_cov_12.779585	58962	NA	Bacteria?	NA	Bacteria?	1109774	93
C2	bin.037	k__Bacteria	901	171	117	79	87	5	0	0	0	47.55	4.27	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	50.43	0.8794886908	-	36	549133	2	51	NODE_1895_length_35649_cov_3.906979	35649	NA	Bacteria?	NA	Bacteria?	516681	94
C2	bin.038	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	77120	0	56	NODE_11455_length_10554_cov_2.717402	10554	NA	Bacteria?	NA	Bacteria?	71784	93
C2	bin.039	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	263195	0	60	NODE_441_length_81116_cov_43.731017	81116	NA	Bacteria?	NA	Bacteria?	263195	100
C2	bin.040	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	125651	11	69	NODE_6168_length_16171_cov_3.626520	16171	0.933	dsDNAphage	|full	dsDNAphage	91008	72
C2	bin.041	k__Bacteria	5449	101	57	89	12	0	0	0	0	7.26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	441527	0	62	NODE_990_length_51172_cov_6.071287	51172	NA	Bacteria?	NA	Bacteria?	431650	97
C2	bin.042	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	127582	2	30	NODE_7597_length_14044_cov_3.096433	14044	0.973	dsDNAphage	|full	dsDNAphage	77495	60
C2	bin.043	k__Bacteria	924	161	108	117	44	0	0	0	0	29.32	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	25.61	0.814842643	-	42	285055	0	49	NODE_5253_length_17956_cov_3.735657	17956	NA	Bacteria?	NA	Bacteria?	268268	94
C2	bin.044	k__Bacteria	5449	104	58	53	47	3	0	1	0	70.69	9.48	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003166955.1, s__Palsa-343 sp003166...	55.91	0.9380925426	-	43	4162789	4	62	NODE_203_length_122983_cov_7.728483	122983	NA	Bacteria?	NA	Bacteria?	4095940	98
C2	bin.045	k__Bacteria	2258	187	116	90	94	3	0	0	0	57.16	2.59	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	39.59	0.9337643749	-	44	4511306	7	59	NODE_240_length_113240_cov_17.123479	113240	NA	Bacteria?	NA	Bacteria?	4386937	97
